Date,Open,High,Low,Close,Volume,Adj Close
9/1/2009,10.15,10.38,9.86,9.94,33773300,9.35
10/1/2009,9.88,10.05,9.48,9.55,27134700,8.98
11/2/2009,9.65,9.77,9.2,9.56,28867000,8.99
12/1/2009,9.76,10.16,9.72,9.74,30342900,9.25
1/4/2010,9.87,10.52,9.83,9.84,32451300,9.34
2/1/2010,9.94,10.13,9.67,9.94,27749000,9.44
3/1/2010,10.03,10.6,9.99,10.44,23887400,9.91
4/1/2010,10.52,10.71,10.27,10.39,27021200,9.86
5/3/2010,10.35,10.46,9.35,9.51,28547600,9.03
6/1/2010,9.51,9.81,9.15,9.2,21154400,8.73
7/1/2010,9.25,9.78,9.16,9.63,20088100,9.14
8/2/2010,9.75,9.89,9.31,9.38,19026200,8.9
9/1/2010,9.49,10.04,9.48,9.89,17823000,9.39
10/1/2010,9.89,10.28,9.69,10.02,20404400,9.51
11/1/2010,9.97,10.5,9.86,10.27,24139500,9.75
12/1/2010,10.39,11,10.38,10.91,19245000,10.43
1/3/2011,10.98,11.25,10.86,10.93,25563100,10.45
2/1/2011,11.05,11.63,11.04,11.53,28645000,11.02
3/1/2011,11.6,11.62,9.24,10.32,88244800,9.86
4/1/2011,10.25,10.53,9.7,10.53,36768600,10.06
5/2/2011,10.59,10.64,9.83,10.27,31934100,9.82
6/1/2011,10.25,10.47,9.91,10.43,25175300,10.06
7/1/2011,10.39,10.91,10.37,10.71,32447900,10.33
8/1/2011,10.8,10.81,9.35,9.85,31868200,9.5
9/1/2011,9.8,9.85,9.17,9.46,27594900,9.12
10/3/2011,9.46,9.99,9.19,9.4,19451700,9.06
11/1/2011,9.28,9.46,8.83,9.43,17237000,9.09
12/1/2011,9.33,9.44,8.85,9.11,16029000,8.89
1/3/2012,9.24,9.59,9.05,9.55,18945100,9.32
2/1/2012,9.58,10.19,9.58,9.99,16807400,9.75
3/1/2012,9.98,10.2,9.75,10.18,16994600,9.93
4/2/2012,10.12,10.21,9.59,9.74,14794600,9.5
5/1/2012,9.6,9.67,8.79,8.89,17070600,8.67
6/1/2012,8.75,9.41,8.64,9.41,13029800,9.27
7/2/2012,9.37,9.5,8.71,8.99,13080100,8.86
8/1/2012,9.03,9.39,8.86,9.06,10572500,8.92
9/4/2012,8.93,9.5,8.82,9.17,15882500,9.03
10/1/2012,9.16,9.28,8.86,9.06,14552800,8.92
11/1/2012,9.07,9.37,8.75,9.33,24976800,9.19
12/3/2012,9.34,9.8,9.26,9.75,27686800,9.71
1/2/2013,9.9,10,9.59,9.97,36740500,9.93
2/1/2013,9.92,10.27,9.89,10.21,34914700,10.17
3/1/2013,10.27,10.83,10.24,10.8,30344800,10.75
4/1/2013,10.46,11.7,10.37,11.7,50213100,11.65
5/1/2013,11.62,12.43,10.84,10.84,64703700,10.79
6/3/2013,10.67,11.45,10.36,11.22,69415500,11.22
7/1/2013,11.35,12.05,11.1,11.22,40358600,11.22
8/1/2013,11.62,11.79,10.84,10.87,32300500,10.87
9/3/2013,11.18,12.12,11.09,11.92,33014200,11.92
10/1/2013,11.82,11.93,11.46,11.48,38097300,11.48
